2024-05-30 21:45:22,581.bbq_producer.INFO ==================================================
2024-05-30 21:45:22,581.bbq_producer.INFO Today is 2024-05-30 at 09:45 PM
2024-05-30 21:45:22,581.bbq_producer.INFO Running on: posix Darwin 23.5.0
2024-05-30 21:45:22,581.bbq_producer.INFO Python version:  3.12.3
2024-05-30 21:45:22,581.bbq_producer.INFO Python path: /Library/Frameworks/Python.framework/Versions/3.12
2024-05-30 21:45:22,581.bbq_producer.INFO Working dir: /Users/levilowther/ds-venv/streaming-05-smart-smoker
2024-05-30 21:45:22,581.bbq_producer.INFO ==================================================
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:44:15', 130.0)
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:45:10', 130.0)
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:45:15', 130.0)
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:46:10', 137.3)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:46:15', 137.3)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:47:10', 139.5)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:47:15', 139.5)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:48:10', 141.8)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:48:15', 141.8)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:49:10', 143.6)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:49:15', 143.6)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:50:10', 145.0)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:50:15', 145.0)
2024-05-30 21:45:24,582.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:51:10', 146.2)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:51:15', 146.2)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:52:10', 147.5)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:52:15', 147.5)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:53:10', 148.7)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:53:15', 148.7)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:54:10', 149.9)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:54:15', 149.9)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:05', 151.1)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:10', 151.2)
2024-05-30 21:45:24,583.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:55:15', 151.2)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:56:10', 152.4)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:56:15', 152.4)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:57:10', 153.4)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:57:15', 153.4)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:58:10', 154.5)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:58:15', 154.5)
2024-05-30 21:45:24,584.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:59:10', 155.6)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:59:15', 155.6)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:00:10', 156.5)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:00:15', 156.5)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:01:10', 157.8)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:01:15', 157.8)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:02:10', 158.8)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:02:15', 158.8)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:03:10', 159.9)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:03:15', 159.9)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:04:10', 160.7)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:04:15', 160.7)
2024-05-30 21:45:24,585.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:05:10', 161.9)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:05:15', 161.9)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:06:10', 163.1)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:06:15', 163.1)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:07:10', 164.3)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:07:15', 164.3)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:08:10', 165.6)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:08:15', 165.6)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:09:10', 166.7)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:09:15', 166.7)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:10:10', 167.8)
2024-05-30 21:45:24,586.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:10:15', 167.8)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:11:10', 168.8)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:11:15', 168.8)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:12:10', 170.2)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:12:15', 170.2)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:13:10', 171.7)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:13:15', 171.7)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:14:10', 173.3)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:14:15', 173.3)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:15:10', 174.6)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:15:15', 174.6)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:16:10', 175.5)
2024-05-30 21:45:24,587.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:16:15', 175.5)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:17:10', 176.8)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:17:15', 176.8)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:18:10', 177.8)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:18:15', 177.8)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:19:10', 178.9)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:19:15', 178.9)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:20:10', 180.3)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:20:15', 180.3)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:21:10', 181.4)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:21:15', 181.4)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:22:10', 182.6)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:22:15', 182.6)
2024-05-30 21:45:24,588.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:23:10', 183.9)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:23:15', 183.9)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:24:10', 184.8)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:24:15', 184.8)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:25:10', 186.0)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:25:15', 186.0)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:26:10', 187.1)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:26:15', 187.1)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:27:10', 211.9)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:27:15', 211.9)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:28:10', 215.3)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:28:15', 215.3)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:29:10', 217.0)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:29:15', 217.0)
2024-05-30 21:45:24,589.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:30:10', 218.6)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:30:15', 218.6)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:31:10', 218.5)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:31:15', 218.5)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:32:10', 219.4)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:32:15', 219.4)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:33:10', 220.5)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:33:15', 220.5)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:34:10', 220.7)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:34:15', 220.7)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:35:10', 222.5)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:35:15', 222.5)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:36:10', 223.0)
2024-05-30 21:45:24,590.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:36:15', 223.0)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:37:10', 224.7)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:37:15', 224.7)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:38:10', 224.2)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:38:15', 224.2)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:39:10', 223.6)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:39:15', 223.6)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:40:10', 224.6)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:40:15', 224.6)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:41:10', 224.3)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:41:15', 224.3)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:42:10', 226.6)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:42:15', 226.6)
2024-05-30 21:45:24,591.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:43:10', 229.0)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:43:15', 229.0)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:44:10', 232.8)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:44:15', 232.8)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:45:10', 237.9)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:45:15', 237.9)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:46:10', 200.2)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:46:15', 200.2)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:46:35', 38.7)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:46:40', 38.7)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:46:40', 37.0)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:46:45', 37.0)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:47:10', 205.9)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:47:15', 205.9)
2024-05-30 21:45:24,592.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:47:35', 37.1)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:47:40', 37.1)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:47:40', 35.3)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:47:45', 35.3)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:48:10', 230.0)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:48:15', 230.0)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:48:35', 36.9)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:48:40', 36.9)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:48:40', 35.2)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:48:45', 35.2)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:49:10', 239.6)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:49:15', 239.6)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:49:35', 36.9)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:49:40', 36.9)
2024-05-30 21:45:24,593.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:49:40', 35.3)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:49:45', 35.3)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:50:10', 242.4)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:50:15', 242.4)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:50:35', 37.2)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:50:40', 37.2)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:50:40', 35.2)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:50:45', 35.2)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:51:10', 243.1)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:51:15', 243.1)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:51:35', 37.5)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:51:40', 37.5)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:51:40', 35.2)
2024-05-30 21:45:24,594.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:51:45', 35.2)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:52:10', 242.6)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:52:15', 242.6)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:52:35', 37.9)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:52:40', 37.9)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:52:40', 35.6)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:52:45', 35.6)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:53:10', 241.7)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:53:15', 241.7)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:53:35', 38.4)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:53:40', 38.4)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:53:40', 35.7)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:53:45', 35.7)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:54:10', 241.4)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:54:15', 241.4)
2024-05-30 21:45:24,595.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:54:35', 39.1)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:54:40', 39.1)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:54:40', 36.0)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:54:45', 36.0)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:55:10', 242.1)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:55:15', 242.1)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:55:35', 39.9)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-A: ('05/22/21 13:55:40', 39.9)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:55:40', 36.0)
2024-05-30 21:45:24,596.bbq_producer.INFO Sent message to 02-food-B: ('05/22/21 13:55:45', 36.0)
2024-05-30 21:45:24,597.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 13:56:10', 241.9)
